departement,nom,wiki_fr,wiki_en,image,type_lait,type_fromage
Pas-de-Calais,Pavé aux Algues de Samer,http://fr.wikipedia.org/wiki/Pav%C3%A9_aux_Algues_de_Samer,,,Vache,rind-washed-cheese
Corrèze,Pavé corrézien,http://fr.wikipedia.org/wiki/Pav%C3%A9_corr%C3%A9zien,,,Vache,uncooked-pressed-cheese
Calvados,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,,,Vache,rind-washed-cheese
Eure,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,,,Vache,rind-washed-cheese
Orne,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,,,Vache,rind-washed-cheese
Tarn,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,,Chèvre,soft-ripened-cheese
Hérault,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,,Chèvre,soft-ripened-cheese
Aude,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,,Chèvre,soft-ripened-cheese
Gard,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,,Chèvre,soft-ripened-cheese
Lozère,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,,Chèvre,soft-ripened-cheese
Tarn,Pérail,http://fr.wikipedia.org/wiki/P%C3%A9rail,http://en.wikipedia.org/wiki/Perail,,Brebis,soft-ripened-cheese
Aveyron,Pérail,http://fr.wikipedia.org/wiki/P%C3%A9rail,http://en.wikipedia.org/wiki/Perail,,Brebis,soft-ripened-cheese
Jura,Pérassu,http://fr.wikipedia.org/wiki/P%C3%A9rassu,,,Vache,blue-cheese
